Recurso,Anon,Daniel -> Daniel,Daniel -> Leonardo,Leonardo -> Leonardo,Leonardo -> Daniel
df_users,DENY,ALLOW,DENY,ALLOW,DENY
df_tenants,DENY,ALLOW,DENY,ALLOW,DENY
df_professionals,DENY,ALLOW,DENY,ALLOW,DENY
patients,DENY,ALLOW,DENY,ALLOW,DENY
appointments,DENY,ALLOW,DENY,ALLOW,DENY
procedures,DENY,ALLOW,DENY,ALLOW,DENY
inventory,DENY,ALLOW,DENY,ALLOW,DENY
sales,DENY,ALLOW,DENY,ALLOW,DENY
receivables,DENY,ALLOW,DENY,ALLOW,DENY
expenses,DENY,ALLOW,DENY,ALLOW,DENY
payables,DENY,ALLOW,DENY,ALLOW,DENY
recurring,DENY,ALLOW,DENY,ALLOW,DENY
bank accounts,DENY,ALLOW,DENY,ALLOW,DENY
bank movements,DENY,ALLOW,DENY,ALLOW,DENY
settings,DENY,ALLOW,DENY,ALLOW,DENY
simulations,DENY,ALLOW,DENY,ALLOW,DENY
